,comment
0,nan
1,I had a wonderful experience at Jonat Hotel. Their rooms are new and their services are top-notch . I definitely recommend it to anyone visiting Cape Coast 🙏🏿
2,"I enjoyed my stay here. For a serene environment, choose Jonat Hotel."
3,"The couple of times I have been there, were very peaceful times and I really enjoyed the serenity and the  calm ambiance of the place.
Really nice rooms and affordable as well."
4,Everything there was nice and super clean 👍👍👍
5,I had a splendid stay at Jonat Hotel. It might be new but the service there was great and the food was delish
6,"Staff provide warm reception, neat rooms, and room service available."
7,It’s a nice place to stay at. Pretty clean and the prices of the rooms are great. They also serve everyone breakfast which is a plus.
8,nan
9,nan
10,nan
11,"The Drowaa Plus Hotel is a the go-to place for stop by for a night's sleep. Great designs in room with great ventilation (AC & Fan) rooms etc.

I recommend this place to all organizing events and looking for a great place to lodge."
12,nan
13,nan
14,nan
15,Very quite location in Cape Coast.
16,nan
17,In town ...around IBB
18,nan
19,nan
20,The rooms are beautiful. Elegant designs. But the washrooms are in poor condition. And poor customer service.
21,nan
22,"had a few drinks at their pub. place holds sentimental value as well for me, as my old junior high  is only half a kilometre away. friendly and accommodating staff"
23,nan
24,Close to the beach
25,Not in good condition at the moment. It has been left without any form of maintenance.
26,Its a nice place to be
27,"This is a great establishment, and striving part of the community. This is the place to have alll types of loving events.

Thanks for everyone in the community."
28,nan
29,"We spent there only saturday, but place is magic :)"
30,nan
31,Unique conjunction of pristine beach and good food
32,nan
33,Wonderfull..nothing else
34,"Situado num local paradisíaco. Muito sossegado, bela paisagem.
O acesso não é fácil, mas o que é bom nunca é fácil."
35,nan
36,Excellent place 👍😁
37,nan
38,"Endroit magnifique, logements confortables, cuisine gustative et raffinée, accueil aux petits soins."
39,"Fantas Folly is our favourite place to spend a relaxing time at. Philip and Fanta are wonderful hosts, and always spend time to make you feel welcome. The food is great and good value for money. The rooms are comfortable and well thought out. The location is a piece of Paradise on Earth. We have a lot of wonderful memories of our time spent at Fantas. Highly recommended."
40,Es bleibt kein Wunsch unerfüllt!!! Ein kleines Paradies auf Erden!!!!
41,nan
42,"Very poor service I received from fantas folly. Food took more than 2 hours and waiters were not smart too. They could not even recommend to me which of their listed food on menu is the best, one of the waitress mentioned she cannot recommend because it is not allowed. Their appearance was off for me also. Imagine going on a long journey and been given a poor service it was just heart breaking."
43,nan
44,"This is the worse place, I have ever been too!! They are very rude, the service is very bad. The owner and his wife wanted to fight with costumers, never go there if you want to have a good time."
45,"Ein idyllisches Plätzchen, europäische Küche, leider nur sehr schwer zu erreichen. Möglichst ein Off-road Auto benutzen!"
46,"Nice place, very quiet, peaceful and amazing views.
The only minus was that the water from the shower and tap was not clean at all and it couldn't be used (big minus)"
47,"This is the best get away from the hectic traffic busyness and dirty beaches in Accra.   Though it is said that the road that leads to heaven is narrow, get ready for the narrow drive haha but it worths it at the end. Clean environment, good for groups , good for couples to spend quality time together. Good for family vacation, good for kids , good for long walks by the beach. I strongly recommend"
48,Very nice beach
49,nan
50,nan
51,Amazing stay with mouth watering food
52,Great food and the beach is so relaxing…. Awesome place for a getaway but the road is bumpy so be prepared when going but definitely a gem 😍👌🏿
53,"The worst ever customer service I have ever experienced.  I checked in, ordered two meals and my wife surprised me with a bottle of wine. I them requested for a glass, which was brought.the manager/owner came to request for 29ghs for bringing my wine in as a guest who is accommodated there. I objected and he poured my wine in the glass away and took his glass. And he told me to check out and leave if I want to and I did just that."
54,"Best beach resort in takoradi, clean beaches, helpful personal."
55,nan
56,"A peaceful haven surrounded by an overloaded package of nature: trees, birds, sky: sun, moon and stars and of course the ocean... Amazing!!!
Thank you Fanta, Philippe, Janet, Chef, Deborah, Ebo and the whole team.
You make Fantas Folly a living haven and I am coming back again."
57,Great meal and very peaceful atmosphere
58,nan
59,Le paradis sur terre...mais la route est difficile...
60,Warm reception by Philip and his team. Always ready to listen to and serve the guests as well. For their meals..just love it.
61,nan
62,nan
63,"One of the Cleanest Beaches 🏖
Great food fresh from the sea 🌊
Ambiance 🔝 notch
Moderate pricing"
64,Super sympa ! Proprio franc-comtois ;) ! Plage paradisiaque.
65,nan
66,An amazing place for weekend getaway.
67,"An fantastic place with an serene atmosphere located right on the Butre beach. It’s the perfect place to calm down and just enjoy yourself. The resort is built with a great sense of design and atmosphere by a nice couple taking very good care of you. I really loved this place.
The only bad thing was the internet connection that was weak, but if your not depending on internet - this is a perfect place to be."
68,"Nestled among tropical vegetation, with the sound of the Atlantic Ocean rolling into shore, you feel far away from the hustle and bustle yet it is less than an hour’s drive from the city of Takoradi.
Caution: Road is too rough. Consider Pick-up vans.

Beautiful sea beach with photogenic views. Clean area with water. The beauty of this place is the small rocky mountain ⛰.. just walk 3-4 minutes and click pictures and videos there. Adding some of the pictures.water is green, grey and yellow lol..mix colour.

Make sure you order your food in advance as they will take 2 hours if they are saying 5 minutes. I had omelette and bread and waited for 1 one hour."
69,"An excellent hideaway vacation spot for the couple who wants to get away from the busy city atmosphere. A very serene area with a beautiful beach. The food is great but takes a long time to prepare. I recommend ordering early enough so as not to be disappointed. One needs to note, however, that the resort is very far away from the main road. The road is generally smooth though. We could not find the sign at the main junction and this we missed the turn and got lost. Be sure to ask for directions. You will spend about 20-30 mins drive from the main road on dirt road before you get the resort. After the main junction there are signs at each junction so you will find your way.
I recommend this resort for couples who want a quiet, low key and affordable vacation. Just make sure you have a 4x4 😂"
70,nan
71,Wonderful experience in the middle of nowhere
72,Always one of my fav places to visit. Food is great and beach is always clean. Rooms are very affordable and clean
73,nan
74,"Serene atmosphere, perfect 👌🏾 for a get away trip and wonderful people at the hotel. Love the place. Would always choose that place over and over again"
75,It is a serene Atmosphere
76,Amazing getaway for everyone. Beautiful sunsets and serene atmosphere
77,Sure a wonderful place to enjoy the breeze.
78,nan
79,nan
80,"To be honest, have not visited the place but will find a time and go to relax there"
81,nan
82,"Perfect value for its money. Clean rooms with AC, nice guys at the reception."
83,"Has a very beautiful view of an estuary, services and facilities are commendable"
84,nan
85,nan
86,nan
87,"Good atmosphere, great environment (right at the place where the Ankobra river joins the sea) and good service! There's more room for improvement, however."
88,nan
89,nan
90,nan
91,"A wonderful experience. Neat environment, courteous workers and as for the food A+."
92,Nice and serene environment for relaxing.
93,Loved the serene atmosphere. Loved waking up to the sound of the rumbling waves. Relaxing to the max. Don't miss the sunset and sunrise. The food both breakfast and dinner was superb  I will definitely be there again
94,nan
95,"The Beach and Ankobra views are the best rooms to stay, both for privacy and leisure"
96,nan
97,nan
98,nan
99,"Ankobra Bridge Hotel is an amazing place. Nice facilities, rooms and serene environment. The food is great. Rooms range between Ghc200-400.

Great place to get out of the city to relax. It was great being there."
100,Home away from home
101,"❣❣❣❣❣food
Room's 👄👄👄👄👄👄"
102,nan
103,Very nice place for relaxation
104,One of the best place to relax in the western part of Ghana
105,Great experience
106,nan
107,nan
108,"Excellent amenities, rooms smell good and breakfast is top notch. Will recommend this hotel to all."
109,Its close to the ankobra River and is very calm and refreshing staff are very welcoming and friendly food is great too
110,nan
111,"Passed through briefly!
Excellent service!
Good location"
112,nan
113,Comfortable and friendly staff.
114,nan
115,"The place is amazing,guys y'all gotta go there"
116,"Nice place, good customer service."
117,Fantastic
118,nan
119,nan
120,Nice ambiance
121,Nice neat and new
122,"Green Zion Garden and the host, Ellis, left an imprint on my heart that I can never forget. Thank you."
123,"Green Zion Garden is an actual paradise. The various little/large rooms are like natural hobbit houses. No Aircon but sure a fan is grand. There's a tree house, too. The garden is immaculate, green indeed. Beautiful flowers, plants and trees. There are birds, dragonflies, a friendly goat, a couple of friendly dogs. It's right by the beach where Ellis has a beautifully decorated wooden bar. He'll feed you delicious veggie food and serve you tasty drinks. He's got the best smile. 💗There are seats & shaded beds by the ocean. The beach is so clean- no rubbish. The cleanest I've seen in Ghana. I should have stayed for longer. I'll go back one day... The village of Butre itself is across a rickety Indiana Jones style bridge and is a bustling lively fishy place. The children all ran at me for fistbumps & hi fives. Goats & chickens & dogs everywhere.
We got a motorbike to Asa Baako Festival in Busua but walked back, the full moon illuminating our way across the beach, then our headtorches helping for the path through the bush over the hilly headland, with birds frogs & insects providing the soundtrack.
A very magical special place, which seems to be growing even better with each new build & idea. Loved it 😊"
124,"I crossed rendomly the Green garden eco lodge when I was trekking on the coast.
I met Ellis there, what a positive and funny man. We ate together and had good fun. He show me the lodge, very clean and nice place. The garden is crazy.. very good moments and vibes here !"
125,Very very green space and cool environment. Great gardening and eco lodge experience
126,"They have OM sign on the outside board. You will see cats around. 10 minutes drive from fantas folly. He knows how to cook indian food. The man will offer you everything you want. Posting his picture too in the review. Offering free private parking onsite, Green Zion Garden offers pet-friendly accommodations in Butre. The bed and breakfast has lawns and hammocks for guests located in the garden. Guests can enjoy a meal at the outside garden restaurant that serves local, Indian and International cuisine. The property has an onsite bar at the garden also a coffee shop.
You will find a shared lounge at the property and Thai yoga massage treatments are available."
127,nan
128,Paradise is in Ghana
129,Wooow it was such a special place!  incredible !!!
130,"I almost don't want to recommend it because the green zion garden is such a Hidden gem. Moreover Ellis, the host, is honestly the best Guy i've met in Ghana. If you want the best all round experience when you are in Ghana, visit Ellis' place, he will welcome you in his Zion garden."
131,"Affable owner, good food, great to relax! All sited in a beautiful, skilfully elaborated garden. Will come again!"
132,"A place in an amazing garden, Ellis doing great job to care for his guests, good food and clean rooms."
133,nan
134,nan
135,Amazing place in butre!!
136,"Super lovely place. Set in the serene and beautiful ambiance of one of Ghana's beautiful coastlines,the Green Zion Garden was the perfect location for good relaxation, good and peaceful unwinding. My host, Ellis was super amazing.  A super friendly, hardworking and open minded gentle rasta man. His vegetarian cooking was top notch. His knowledge and sharing of experience was great. He prepared a bonfire for me and he is a  kind of a good drummer too [but pretty please, don't let him sing :) ] The various lodges, from the dormitories to the upper deck of the tree house, were neat, lovely and awash with beautiful colors and traditional fabric.
Bonus: when you request for a coconut, you get a fresh one which is cut from the tree right in your face.
I sure will be there again."
137,Wir kamen 06/2018 zum Abendessen vorbei - die Atmosphere im Restaurant/Lounge ist unbeschreiblich! Nach dem fantastischen Essen schnappten wir uns Djembe und Guitarre und sangen gemeinsam mit dem Gastgeber unter Mondlicht im Garten bis spät in die Nacht. Toller Ort! Ein unvergesslicher Abend.
138,nan
139,nan
140,Green zion garden offers a nice stay in a great garden with djungle feeling and a very friendly host who will gladly show you around the area. Pancakes are recommended!
141,nan
142,nan
143,nan
144,nan
145,nan
146,A friend's wedding refreshment was held at that venue. Warm reception given to us
147,nan
148,nan
149,nan
150,"Sangat menyenangkan,bisa melihat dari kejauhan agartha overlords da god squad"
151,nan
152,"The customer service is more than excellent, workers are very friendly and they give you a wonderful reception, the rooms are very clean and I can lodge in over and over and over again"
153,nan
154,nan
155,nan
156,nan
157,"It's the best. Spend the night once, you'd love it. It's just great"
158,nan
159,nan
160,nan
161,nan
162,nan
163,A great place to be
164,Good environment
165,"The pool side, spacious parking space says and the reception the security gives you on entry of the premises says it all."
166,nan
167,nan
168,nan
169,nan
170,"Nice hotel.
An ok rest place"
171,nan
172,The hotel is very nice and beautiful. I will always recommend it to anyone.
173,Is a nice plce only a bushy area
174,nan
175,nan
176,nan
177,Very cool environment
178,Simply home away from your own home
179,nan
180,Love this hotel.
181,nan
182,nan
183,nan
184,"Very hospitable, staff were very helpful.....they should improve their restaurant services"
185,nan
186,Most quiet and perfect place of stay away from the busy street of tadi
187,Nice place to rest
188,nan
189,Good service
190,מקום נחמד וזול  צוות אדיב
191,nan
192,It's a cool place with great view. Very serene.
193,nan
194,nan
195,Very nice and affordable place to visit
196,Great place
197,"The amenities (room/poolside/restaurant, etc) are world class. Their meals are equally tasty and cost between Ghc100+ (£$€ 9/10). They have amiable staff"
198,nan
199,"The experience in Alliance was super good 👌... beautiful environment, services, and most importantly, the staff. To mention but a few, Hnel (the 5-star manager with sense of humour and HUMILITY), Samuel (ever smiling dude in service etc), Kafui( Front Desk personnel with swag), Jacqueline (the calm and wonderful person, ensuring everything is OK).
Thanks ☺️"
200,nan
201,nan
202,nan
203,"It is a very quiet hotel but the rooms need cleaning
The furniture and bathroom are very outdated"
204,nan
205,"Absolutely exquisite, nestled in the beach road area of Takoradi, Alliance is a home away from home. For the business traveller as well as for those seeking pleasure."
206,nan
207,"Not as beautiful as the pictures and reviews I saw and it looked quite tight, not spacious enough. But it has its good sides, didn’t stay long enough to find them though"
208,Worthy experience
209,Clean and serene location with friendly staff. The rooms are very small but well maintained
210,Don't know whether it was the season and thus staff were overwhelmed but services left soo much to be desired.
211,Their food was exquisite
212,Cozy place with great service and value for money
