,0
0,I had a wonderful experience at Jonat Hotel . Their rooms are new and their services are top - notch . I definitely recommend it to anyone visiting Cape Coast 🙏🏿
1,"I enjoyed my stay here . For a serene environment , choose Jonat Hotel ."
2,"The couple of times I have been there , were very peaceful times and I really enjoyed the serenity and the calm ambiance of the place . Really nice rooms and affordable as well ."
3,Everything there was nice and super clean 👍👍👍
4,I had a splendid stay at Jonat Hotel . It might be new but the service there was great and the food was delish
5,"Staff provide warm reception , neat rooms , and room service available ."
6,It ’ s a nice place to stay at . Pretty clean and the prices of the rooms are great . They also serve everyone breakfast which is a plus .
7,The Drowaa Plus Hotel is a the go - to place for stop by for a night ' s sleep . Great designs in room with great ventilation ( AC & Fan ) rooms etc . I recommend this place to all organizing events and looking for a great place to lodge .
8,Very quite location in Cape Coast .
9,In town . . . around IBB
10,The rooms are beautiful . Elegant designs . But the washrooms are in poor condition . And poor customer service .
11,"had a few drinks at their pub . place holds sentimental value as well for me , as my old junior high is only half a kilometre away . friendly and accommodating staff"
12,Close to the beach
13,Not in good condition at the moment . It has been left without any form of maintenance .
14,Its a nice place to be
15,"This is a great establishment , and striving part of the community . This is the place to have alll types of loving events . Thanks for everyone in the community ."
16,"We spent there only saturday , but place is magic : )"
17,Unique conjunction of pristine beach and good food
18,Wonderfull . . nothing else
19,"Situated in a paradise place . Very quiet , beautiful landscape . Access is not easy , but what is good is never easy ."
20,Excellent place 👍😁
21,"Magnificent place , comfortable accommodation , taste and refined kitchen , careful welcome ."
22,"Fantas Folly is our favourite place to spend a relaxing time at . Philip and Fanta are wonderful hosts , and always spend time to make you feel welcome . The food is great and good value for money . The rooms are comfortable and well thought out . The location is a piece of Paradise on Earth . We have a lot of wonderful memories of our time spent at Fantas . Highly recommended ."
23,No wish remains unfulfilled ! ! ! A little paradise on earth ! ! ! !
24,"Very poor service I received from fantas folly . Food took more than 2 hours and waiters were not smart too . They could not even recommend to me which of their listed food on menu is the best , one of the waitress mentioned she cannot recommend because it is not allowed . Their appearance was off for me also . Imagine going on a long journey and been given a poor service it was just heart breaking ."
25,"This is the worse place , I have ever been too ! ! They are very rude , the service is very bad . The owner and his wife wanted to fight with costumers , never go there if you want to have a good time ."
26,"An idyllic place , European cuisine , unfortunately very difficult to achieve . Use an off - road car if possible !"
27,"Nice place , very quiet , peaceful and amazing views . The only minus was that the water from the shower and tap was not clean at all and it couldn ' t be used ( big minus )"
28,"This is the best get away from the hectic traffic busyness and dirty beaches in Accra . Though it is said that the road that leads to heaven is narrow , get ready for the narrow drive haha but it worths it at the end . Clean environment , good for groups , good for couples to spend quality time together . Good for family vacation , good for kids , good for long walks by the beach . I strongly recommend"
29,Very nice beach
30,Amazing stay with mouth watering food
31,Great food and the beach is so relaxing … . Awesome place for a getaway but the road is bumpy so be prepared when going but definitely a gem 😍 👌 🏿
32,"The worst ever customer service I have ever experienced . I checked in , ordered two meals and my wife surprised me with a bottle of wine . I them requested for a glass , which was brought . the manager / owner came to request for 29ghs for bringing my wine in as a guest who is accommodated there . I objected and he poured my wine in the glass away and took his glass . And he told me to check out and leave if I want to and I did just that ."
33,"Best beach resort in takoradi , clean beaches , helpful personal ."
34,"A peaceful haven surrounded by an overloaded package of nature : trees , birds , sky : sun , moon and stars and of course the ocean . . . Amazing ! ! ! Thank you Fanta , Philippe , Janet , Chef , Deborah , Ebo and the whole team . You make Fantas Folly a living haven and I am coming back again ."
35,Great meal and very peaceful atmosphere
36,Paradise on earth . . . but the road is difficult . . .
37,Warm reception by Philip and his team . Always ready to listen to and serve the guests as well . For their meals . . just love it .
38,One of the Cleanest Beaches 🏖 Great food fresh from the sea 🌊 Ambiance 🔝 notch Moderate pricing
39,Really nice ! Proprio Franc - Comtois ; ) ! Heavenly beach .
40,An amazing place for weekend getaway .
41,"An fantastic place with an serene atmosphere located right on the Butre beach . It ’ s the perfect place to calm down and just enjoy yourself . The resort is built with a great sense of design and atmosphere by a nice couple taking very good care of you . I really loved this place . 
 The only bad thing was the internet connection that was weak , but if your not depending on internet - this is a perfect place to be ."
